Frequency (Hz)	Level (dB)
187.500000	-13.262337
375.000000	-12.689460
562.500000	-24.600777
750.000000	-40.206108
937.500000	-42.592381
1125.000000	-42.297237
1312.500000	-43.277187
1500.000000	-44.090885
1687.500000	-44.237293
1875.000000	-40.252583
2062.500000	-34.734592
2250.000000	-38.984032
2437.500000	-41.717854
2625.000000	-36.303928
2812.500000	-31.898821
3000.000000	-30.251675
3187.500000	-32.980846
3375.000000	-29.906891
3562.500000	-27.487490
3750.000000	-33.650711
3937.500000	-48.005692
4125.000000	-46.003620
4312.500000	-40.688637
4500.000000	-40.643204
4687.500000	-45.923817
4875.000000	-59.860905
5062.500000	-65.478127
5250.000000	-64.648575
5437.500000	-62.455467
5625.000000	-61.861294
5812.500000	-61.076294
6000.000000	-60.196987
6187.500000	-63.189907
6375.000000	-65.629646
6562.500000	-61.197708
6750.000000	-56.426674
6937.500000	-56.574341
7125.000000	-56.925411
7312.500000	-57.441166
7500.000000	-58.543327
7687.500000	-57.827942
7875.000000	-57.903156
8062.500000	-59.973873
8250.000000	-63.796432
8437.500000	-60.645985
8625.000000	-63.410046
8812.500000	-68.610947
9000.000000	-66.457756
9187.500000	-66.457901
9375.000000	-69.834221
9562.500000	-77.621147
9750.000000	-81.412529
9937.500000	-85.257446
10125.000000	-86.859200
10312.500000	-82.593178
10500.000000	-70.893387
10687.500000	-60.178921
10875.000000	-56.277325
11062.500000	-55.495884
11250.000000	-57.806297
11437.500000	-61.067600
11625.000000	-68.625175
11812.500000	-78.376152
12000.000000	-78.921730
12187.500000	-72.330322
12375.000000	-70.256233
12562.500000	-73.919891
12750.000000	-79.209038
12937.500000	-78.107590
13125.000000	-76.816628
13312.500000	-73.877655
13500.000000	-73.650177
13687.500000	-80.967407
13875.000000	-90.568672
14062.500000	-84.548439
14250.000000	-79.698425
14437.500000	-81.791252
14625.000000	-80.892334
14812.500000	-83.463371
15000.000000	-92.999763
15187.500000	-97.890388
15375.000000	-92.788979
15562.500000	-92.373123
15750.000000	-94.993652
15937.500000	-95.713242
16125.000000	-100.064209
16312.500000	-103.058800
16500.000000	-104.475029
16687.500000	-104.202431
16875.000000	-103.952354
17062.500000	-104.664688
17250.000000	-105.126312
17437.500000	-104.836029
17625.000000	-104.238152
17812.500000	-104.616577
18000.000000	-107.172775
18187.500000	-107.449318
18375.000000	-108.086014
18562.500000	-108.178146
18750.000000	-109.508972
18937.500000	-110.934219
19125.000000	-111.691750
19312.500000	-116.139313
19500.000000	-119.522591
19687.500000	-122.333008
19875.000000	-125.613152
20062.500000	-131.128693
20250.000000	-137.877380
20437.500000	-142.859634
20625.000000	-148.911896
20812.500000	-152.926041
21000.000000	-153.917389
21187.500000	-154.339920
21375.000000	-155.246613
21562.500000	-155.182495
21750.000000	-155.875107
21937.500000	-156.308029
22125.000000	-157.646576
22312.500000	-157.512192
22500.000000	-157.957962
22687.500000	-158.738449
22875.000000	-157.960632
23062.500000	-160.011993
23250.000000	-159.652954
23437.500000	-159.748413
23625.000000	-155.489197
23812.500000	-155.817749
