Frequency (Hz)	Level (dB)
187.500000	-18.547892
375.000000	-17.908974
562.500000	-16.407616
750.000000	-9.223894
937.500000	-9.559918
1125.000000	-14.835063
1312.500000	-14.031214
1500.000000	-17.474195
1687.500000	-26.541250
1875.000000	-27.601494
2062.500000	-24.834955
2250.000000	-24.489454
2437.500000	-32.595913
2625.000000	-35.016331
2812.500000	-36.105995
3000.000000	-34.480442
3187.500000	-29.805332
3375.000000	-27.428459
3562.500000	-29.634140
3750.000000	-38.037010
3937.500000	-40.402084
4125.000000	-41.186810
4312.500000	-39.665184
4500.000000	-46.967411
4687.500000	-50.222141
4875.000000	-52.092327
5062.500000	-57.156792
5250.000000	-65.354645
5437.500000	-67.864830
5625.000000	-64.398628
5812.500000	-61.344448
6000.000000	-63.078518
6187.500000	-66.546883
6375.000000	-70.689125
6562.500000	-77.078735
6750.000000	-82.302292
6937.500000	-73.866859
7125.000000	-68.277351
7312.500000	-70.689980
7500.000000	-75.815430
7687.500000	-67.991112
7875.000000	-62.626595
8062.500000	-59.709293
8250.000000	-60.406235
8437.500000	-60.596397
8625.000000	-61.236557
8812.500000	-62.348606
9000.000000	-60.630318
9187.500000	-61.907742
9375.000000	-59.963356
9562.500000	-61.215023
9750.000000	-58.915363
9937.500000	-58.625721
10125.000000	-63.928612
10312.500000	-63.730762
10500.000000	-62.900463
10687.500000	-59.074471
10875.000000	-57.597382
11062.500000	-60.669506
11250.000000	-58.982357
11437.500000	-55.696854
11625.000000	-58.543167
11812.500000	-54.363712
12000.000000	-52.121929
12187.500000	-53.146519
12375.000000	-52.416245
12562.500000	-54.886105
12750.000000	-64.341789
12937.500000	-78.750481
13125.000000	-79.587135
13312.500000	-77.715973
13500.000000	-80.045616
13687.500000	-84.286842
13875.000000	-81.867729
14062.500000	-86.199409
14250.000000	-93.420631
14437.500000	-96.519684
14625.000000	-89.761131
14812.500000	-88.488403
15000.000000	-83.716080
15187.500000	-80.727295
15375.000000	-86.339798
15562.500000	-88.545364
15750.000000	-91.749680
15937.500000	-93.190971
16125.000000	-92.433960
16312.500000	-97.614990
16500.000000	-102.907822
16687.500000	-104.603531
16875.000000	-106.447845
17062.500000	-103.406960
17250.000000	-103.762276
17437.500000	-105.339745
17625.000000	-106.428429
17812.500000	-106.794746
18000.000000	-109.783424
18187.500000	-105.449059
18375.000000	-104.665344
18562.500000	-103.655342
18750.000000	-105.441772
18937.500000	-110.327538
19125.000000	-108.953743
19312.500000	-108.083794
19500.000000	-111.480240
19687.500000	-117.387726
19875.000000	-121.426247
20062.500000	-124.023979
20250.000000	-128.341522
20437.500000	-137.049103
20625.000000	-143.555649
20812.500000	-148.280899
21000.000000	-148.254532
21187.500000	-150.410934
21375.000000	-149.940887
21562.500000	-150.760788
21750.000000	-151.060715
21937.500000	-151.319931
22125.000000	-152.076797
22312.500000	-152.599472
22500.000000	-153.771973
22687.500000	-152.730103
22875.000000	-152.401611
23062.500000	-150.502258
23250.000000	-152.436539
23437.500000	-153.867447
23625.000000	-155.165604
23812.500000	-155.172379
